OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
146385,843COW,11/21/2008,0,195,40.359883,-105.591458
146306,843COW,11/2/2008,12.7,25,40.300641,-105.591375
146386,843COW,11/21/2008,0,180,40.357908,-105.591216
146487,843COW,3/29/2009,1.2,125,40.354166,-105.591183
146434,843COW,1/10/2009,0,195,40.359466,-105.590516
146483,843COW,3/26/2009,4.6,70,40.344208,-105.590166
146329,843COW,11/3/2008,77.1,190,40.251733,-105.589483
146431,843COW,1/6/2009,0,0,40.343758,-105.5882
146430,843COW,1/6/2009,0,195,40.343808,-105.588133
146373,843COW,11/11/2008,0,35,40.36735,-105.587541
146396,843COW,11/29/2008,1.2,215,40.348316,-105.586533
146473,843COW,3/17/2009,1.2,145,40.351333,-105.586283
146400,843COW,12/4/2008,0,230,40.3552,-105.58515
146356,843COW,11/7/2008,1.2,275,40.362333,-105.584575
146366,843COW,11/8/2008,0,225,40.36425,-105.584441
146404,843COW,12/6/2008,0,300,40.379116,-105.58435
146413,843COW,12/16/2008,3.5,340,40.339433,-105.583925
146448,843COW,2/2/2009,17.3,65,40.356433,-105.583791
146403,843COW,12/6/2008,0,320,40.376,-105.583058
146472,843COW,3/14/2009,1.2,45,40.366116,-105.582891
146484,843COW,3/27/2009,1.2,185,40.337166,-105.582858
146349,843COW,11/7/2008,21.9,15,40.318875,-105.582758
146364,843COW,11/7/2008,2.3,115,40.333066,-105.582566
146813,856,11/7/2008,0,140,40.36775,-105.581883
146426,843COW,12/31/2008,3.5,30,40.350525,-105.581658
146486,843COW,3/28/2009,2.3,25,40.390133,-105.581525
146359,843COW,11/7/2008,0,220,40.363866,-105.58105
146479,843COW,3/22/2009,1.2,40,40.354183,-105.580841
146452,843COW,2/7/2009,0,300,40.354283,-105.580833
146365,843COW,11/8/2008,1.2,190,40.3681,-105.580483
146729,856,10/30/2008,0,200,40.371475,-105.580408
146449,843COW,2/4/2009,1.2,255,40.385858,-105.579858
146408,843COW,12/12/2008,0,75,40.390166,-105.579375
146360,843COW,11/7/2008,0,150,40.366891,-105.578983
146447,843COW,2/2/2009,1.2,310,40.361558,-105.578041
146347,843COW,11/7/2008,1.2,235,40.363775,-105.577675
146355,843COW,11/7/2008,1.2,280,40.36305,-105.577241
146362,843COW,11/7/2008,0,185,40.353866,-105.576816
146490,843COW,4/2/2009,1.2,355,40.383483,-105.576341
146387,843COW,11/22/2008,1.2,215,40.377991,-105.576316
146384,843COW,11/21/2008,0,300,40.359158,-105.574725
146436,843COW,1/11/2009,1.2,130,40.367858,-105.574708
146358,843COW,11/7/2008,0,140,40.367516,-105.574608
146437,843COW,1/11/2009,1.2,130,40.36775,-105.5746
146352,843COW,11/7/2008,0,285,40.367583,-105.574091
146391,843COW,11/26/2008,0,15,40.365983,-105.573741
146348,843COW,11/7/2008,8.1,125,40.338316,-105.573591
146354,843COW,11/7/2008,0,165,40.364116,-105.5734
146492,843COW,4/4/2009,2.3,170,40.3475,-105.572966
146463,843COW,3/4/2009,0,305,40.35835,-105.572933
146308,843COW,11/2/2008,5.8,205,40.344775,-105.571875
146361,843COW,11/7/2008,0,355,40.364466,-105.571691
146458,843COW,2/20/2009,0,15,40.385375,-105.571516
146392,843COW,11/26/2008,0,325,40.365033,-105.571266
146435,843COW,1/10/2009,0,270,40.3667,-105.571083
146453,843COW,2/11/2009,1.2,330,40.359266,-105.570933
146419,843COW,12/24/2008,1.2,160,40.364958,-105.569916
146346,843COW,11/7/2008,1.2,295,40.375916,-105.56975
146491,843COW,4/3/2009,0,340,40.376483,-105.568866
146429,843COW,1/5/2009,1.2,200,40.362875,-105.568583
146351,843COW,11/7/2008,0,295,40.367183,-105.568225
146407,843COW,12/9/2008,0,35,40.3723,-105.56745
146325,843COW,11/3/2008,0,170,40.355491,-105.567225
146441,843COW,1/18/2009,1.2,10,40.394008,-105.566766
150841,856,2/17/2009,0,240,40.36125,-105.565275
146810,856,11/7/2008,31.1,300,40.368325,-105.56495
148560,856,12/17/2008,0,285,40.367533,-105.564483
146401,843COW,12/5/2008,0,355,40.364975,-105.563891
146327,843COW,11/3/2008,0,190,40.345475,-105.5638
146357,843COW,11/7/2008,10.4,320,40.339533,-105.562875
68083,881,11/8/2008,0,125,40.362458,-105.562833
149703,856,1/17/2009,0,20,40.361958,-105.562433
146950,856,11/10/2008,0,40,40.362633,-105.562333
150891,856,2/18/2009,0,220,40.362391,-105.562233
148399,856,12/13/2008,1.2,140,40.365333,-105.562108
68085,881,11/8/2008,0,50,40.363133,-105.562075
146383,843COW,11/21/2008,0,320,40.351366,-105.561833
68084,881,11/8/2008,0,10,40.3623,-105.561783
150670,856,2/13/2009,0,315,40.365491,-105.561658
147733,856,11/27/2008,0,330,40.363075,-105.561625
68088,881,11/8/2008,0,160,40.362975,-105.561566
148341,856,12/10/2008,0,15,40.363016,-105.56155
148799,856,12/24/2008,0,250,40.363458,-105.561508
147838,856,11/29/2008,1.2,40,40.362066,-105.561491
68082,881,11/8/2008,0,20,40.36005,-105.561466
146997,856,11/11/2008,0,255,40.362725,-105.561433
150661,856,2/12/2009,0,305,40.3644,-105.561433
69871,881,12/21/2008,0,305,40.364425,-105.561383
68089,881,11/8/2008,0,150,40.362816,-105.561341
68064,881,11/7/2008,0,255,40.366466,-105.5613
68079,881,11/8/2008,0,45,40.363091,-105.561266
146732,856,11/2/2008,0,310,40.362958,-105.56125
149330,856,1/5/2009,0,35,40.362583,-105.561208
150836,856,2/17/2009,0,145,40.3633,-105.561208
146808,856,11/7/2008,0,335,40.366608,-105.5612
148346,856,12/10/2008,0,65,40.362716,-105.561183
68063,881,11/7/2008,0,265,40.36655,-105.561175
150175,856,1/30/2009,0,300,40.3638,-105.561158
146809,856,11/7/2008,0,275,40.366616,-105.561141
149235,856,1/3/2009,0,300,40.364058,-105.561141
146344,843COW,11/3/2008,0,0,40.37835,-105.561116
151700,856,3/7/2009,0,330,40.364766,-105.561116
146454,843COW,2/11/2009,0,275,40.375383,-105.5611
146807,856,11/7/2008,0,335,40.36655,-105.561066
68062,881,11/7/2008,0,260,40.366758,-105.561058
150835,856,2/17/2009,0,230,40.363875,-105.561016
150432,856,2/6/2009,0,165,40.364375,-105.561
68086,881,11/8/2008,0,55,40.363775,-105.560983
69738,881,12/16/2008,0,40,40.363375,-105.560983
150481,856,2/8/2009,0,150,40.363133,-105.56095
146343,843COW,11/3/2008,0,335,40.378466,-105.560941
69604,881,12/10/2008,0,270,40.363033,-105.560925
146440,843COW,1/18/2009,0,20,40.392541,-105.560891
68980,881,11/27/2008,0,310,40.363766,-105.560875
148068,856,12/4/2008,0,325,40.364333,-105.560833
70408,881,1/4/2009,0,320,40.364016,-105.560825
149066,856,12/30/2008,0,70,40.363608,-105.560808
149485,856,1/9/2009,0,95,40.363475,-105.560808
152712,856,3/29/2009,0,70,40.363316,-105.5608
152301,856,3/20/2009,0,285,40.363658,-105.560775
150806,856,2/16/2009,1.2,340,40.365291,-105.560758
149950,856,1/24/2009,0,310,40.364241,-105.56075
69313,881,12/3/2008,0,315,40.363791,-105.560741
149387,856,1/6/2009,0,320,40.363641,-105.560741
149852,856,1/22/2009,0,280,40.363308,-105.560741
70918,881,2/11/2009,0,140,40.364283,-105.560716
148664,856,12/20/2008,0,60,40.363416,-105.5607
149350,856,1/6/2009,0,25,40.3625,-105.5607
150471,856,2/7/2009,0,90,40.363491,-105.5607
151665,856,3/7/2009,0,300,40.363883,-105.5607
148515,856,12/16/2008,0,0,40.363691,-105.560691
146470,843COW,3/13/2009,0,5,40.368075,-105.560691
152017,856,3/14/2009,0,0,40.363558,-105.560691
149209,856,1/2/2009,0,155,40.364158,-105.560683
150620,856,2/11/2009,1.2,125,40.363841,-105.560683
151677,856,3/7/2009,0,325,40.363816,-105.560683
146869,856,11/9/2008,0,300,40.363558,-105.560675
147688,856,11/26/2008,0,120,40.363733,-105.560675
148353,856,12/11/2008,0,130,40.363783,-105.560675
149546,856,1/12/2009,0,55,40.363291,-105.560675
150575,856,2/10/2009,0,260,40.36355,-105.560675
149853,856,1/22/2009,0,20,40.363491,-105.560666
149882,856,1/22/2009,0,25,40.362583,-105.560666
69504,881,12/7/2008,0,300,40.363675,-105.560658
149214,856,1/2/2009,0,305,40.363641,-105.560658
149386,856,1/6/2009,0,285,40.363566,-105.56065
149898,856,1/23/2009,0,265,40.362758,-105.56065
69676,881,12/15/2008,0,255,40.3634,-105.560633
71066,881,2/23/2009,0,145,40.363216,-105.560633
146852,856,11/8/2008,0,260,40.363025,-105.560625
153043,856,4/5/2009,0,150,40.364283,-105.560625
149241,856,1/3/2009,0,100,40.363525,-105.560616
151236,856,2/26/2009,0,15,40.363125,-105.560616
68998,881,11/27/2008,0,315,40.363491,-105.560608
148567,856,12/18/2008,0,65,40.363333,-105.560608
148633,856,12/19/2008,0,135,40.3641,-105.560608
149879,856,1/22/2009,0,50,40.3632,-105.560608
149943,856,1/24/2009,0,190,40.363033,-105.560608
150470,856,2/7/2009,0,0,40.363408,-105.560608
69535,881,12/8/2008,0,260,40.363166,-105.5606
150613,856,2/11/2009,0,325,40.364191,-105.5606
148183,856,12/6/2008,0,220,40.362958,-105.560591
150253,856,2/1/2009,0,320,40.364158,-105.560591
150630,856,2/12/2009,0,345,40.364883,-105.560591
68080,881,11/8/2008,0,30,40.363158,-105.560583
149353,856,1/6/2009,0,325,40.363925,-105.560583
149716,856,1/18/2009,0,0,40.363216,-105.560583
151014,856,2/21/2009,0,40,40.362908,-105.560583
69689,881,12/15/2008,0,265,40.363375,-105.560575
148783,856,12/23/2008,0,315,40.364091,-105.560575
150599,856,2/11/2009,0,55,40.363275,-105.560575
68075,881,11/8/2008,0,75,40.363433,-105.560566
147945,856,12/1/2008,0,30,40.363025,-105.560566
149192,856,1/2/2009,0,45,40.363175,-105.560566
150917,856,2/19/2009,0,230,40.3631,-105.560566
151540,856,3/4/2009,0,75,40.363441,-105.560566
152255,856,3/19/2009,0,300,40.363558,-105.560566
148717,856,12/22/2008,0,45,40.363116,-105.560558
152526,856,3/25/2009,0,290,40.363883,-105.560558
69632,881,12/13/2008,0,220,40.363125,-105.56055
148628,856,12/19/2008,0,265,40.363366,-105.56055
150396,856,2/5/2009,0,300,40.364133,-105.56055
151193,856,2/25/2009,0,235,40.362991,-105.56055
151541,856,3/4/2009,0,180,40.36345,-105.56055
69027,881,11/28/2008,0,330,40.363716,-105.560541
69020,881,11/27/2008,0,245,40.363466,-105.560533
70468,881,1/5/2009,0,310,40.363991,-105.560533
146918,856,11/10/2008,0,295,40.363566,-105.560525
69953,881,12/23/2008,0,210,40.363408,-105.560525
70105,881,12/27/2008,0,80,40.363633,-105.560525
149357,856,1/6/2009,0,120,40.363775,-105.560525
146994,856,11/11/2008,0,30,40.363,-105.560516
68997,881,11/27/2008,0,45,40.3634,-105.560516
148421,856,12/13/2008,0,140,40.363966,-105.560516
69940,881,12/23/2008,0,40,40.363025,-105.560516
152463,856,3/24/2009,0,215,40.363041,-105.560516
152652,856,3/28/2009,0,245,40.3634,-105.560516
68177,881,11/10/2008,0,310,40.363516,-105.560508
147697,856,11/26/2008,0,45,40.363225,-105.560508
151168,856,2/24/2009,0,60,40.363158,-105.560508
152339,856,3/21/2009,0,315,40.36385,-105.560508
71785,881,4/8/2009,0,160,40.364666,-105.560508
147058,856,11/12/2008,0,235,40.363508,-105.5605
69024,881,11/27/2008,0,90,40.3635,-105.5605
148662,856,12/20/2008,42.6,215,40.362533,-105.5605
149793,856,1/20/2009,0,40,40.363183,-105.5605
150683,856,2/13/2009,0,225,40.362941,-105.5605
71331,881,3/12/2009,0,25,40.362175,-105.5605
147374,856,11/19/2008,0,215,40.362883,-105.560491
69218,881,12/1/2008,0,110,40.3636,-105.560491
148570,856,12/18/2008,0,345,40.3643,-105.560491
70217,881,12/30/2008,0,345,40.3635,-105.560491
70305,881,1/1/2009,0,315,40.363983,-105.560491
149290,856,1/4/2009,0,345,40.363233,-105.560491
150607,856,2/11/2009,0,200,40.362975,-105.560491
71058,881,2/22/2009,0,120,40.363516,-105.560491
151374,856,3/1/2009,0,325,40.364391,-105.560491
147583,856,11/24/2008,0,335,40.363591,-105.560483
151578,856,3/5/2009,0,35,40.363075,-105.560483
71594,881,4/2/2009,0,225,40.3629,-105.560483
147851,856,11/29/2008,0,95,40.363158,-105.560475
149854,856,1/22/2009,0,125,40.363466,-105.560475
71104,881,2/25/2009,0,315,40.364058,-105.560475
146783,856,11/7/2008,0,315,40.363783,-105.560466
147388,856,11/19/2008,0,55,40.363258,-105.560466
147562,856,11/23/2008,0,200,40.362475,-105.560466
147610,856,11/24/2008,0,20,40.362416,-105.560466
149229,856,1/3/2009,0,160,40.364508,-105.560466
149351,856,1/6/2009,0,115,40.363625,-105.560466
150397,856,2/5/2009,0,305,40.363933,-105.560466
150812,856,2/16/2009,0,240,40.363333,-105.560466
151566,856,3/5/2009,0,45,40.36325,-105.560466
152396,856,3/22/2009,0,75,40.363416,-105.560466
68209,881,11/10/2008,0,320,40.364058,-105.560458
148384,856,12/12/2008,0,305,40.363725,-105.560458
149760,856,1/19/2009,0,70,40.363408,-105.560458
150319,856,2/3/2009,0,325,40.363783,-105.560458
146831,856,11/8/2008,0,155,40.364075,-105.56045
68265,881,11/12/2008,0,345,40.363641,-105.56045
148857,856,12/25/2008,0,285,40.363566,-105.56045
149317,856,1/5/2009,0,40,40.363141,-105.56045
149445,856,1/8/2009,0,190,40.362641,-105.56045
149727,856,1/18/2009,0,60,40.363266,-105.56045
146748,856,11/3/2008,0,295,40.363566,-105.560441
68876,881,11/24/2008,0,310,40.36355,-105.560441
148182,856,12/6/2008,0,220,40.363083,-105.560441
69929,881,12/23/2008,0,185,40.363875,-105.560441
149194,856,1/2/2009,0,250,40.363766,-105.560441
70908,881,2/10/2009,0,315,40.36395,-105.560441
71067,881,2/23/2009,0,60,40.36325,-105.560441
151284,856,2/27/2009,0,60,40.363341,-105.560441
151480,856,3/3/2009,0,5,40.3636,-105.560441
151662,856,3/7/2009,0,55,40.363375,-105.560441
153099,856,4/6/2009,0,140,40.363816,-105.560441
148904,856,12/26/2008,0,160,40.364208,-105.560433
149856,856,1/22/2009,0,260,40.363391,-105.560433
70904,881,2/10/2009,0,340,40.363791,-105.560433
150938,856,2/19/2009,0,60,40.363408,-105.560433
151263,856,2/26/2009,0,135,40.36375,-105.560433
151422,856,3/2/2009,0,320,40.364175,-105.560433
153183,856,4/8/2009,0,75,40.363408,-105.560433
68314,881,11/13/2008,0,300,40.363725,-105.560425
69162,881,11/30/2008,0,320,40.364008,-105.560425
69715,881,12/16/2008,0,35,40.363191,-105.560425
148620,856,12/19/2008,0,315,40.363708,-105.560425
148749,856,12/23/2008,0,130,40.36365,-105.560425
149551,856,1/12/2009,0,10,40.36345,-105.560425
70894,881,2/9/2009,0,25,40.363533,-105.560425
151676,856,3/7/2009,0,165,40.363266,-105.560425
152254,856,3/19/2009,0,65,40.363525,-105.560425
147377,856,11/19/2008,0,170,40.363016,-105.560416
148328,856,12/9/2008,0,90,40.363325,-105.560416
70165,881,12/29/2008,0,245,40.3631,-105.560416
149352,856,1/6/2009,0,65,40.363491,-105.560416
149560,856,1/12/2009,0,130,40.363766,-105.560416
149780,856,1/20/2009,0,155,40.364158,-105.560416
149814,856,1/21/2009,0,15,40.363833,-105.560416
150576,856,2/10/2009,0,90,40.363458,-105.560416
152388,856,3/22/2009,0,240,40.363416,-105.560416
146917,856,11/10/2008,0,295,40.363633,-105.560408
68712,881,11/21/2008,0,55,40.36335,-105.560408
69853,881,12/21/2008,0,25,40.362858,-105.560408
69951,881,12/23/2008,0,95,40.363425,-105.560408
70498,881,1/7/2009,0,25,40.36325,-105.560408
149496,856,1/10/2009,0,230,40.363116,-105.560408
71032,881,2/21/2009,0,330,40.363575,-105.560408
152933,856,4/3/2009,0,300,40.363491,-105.560408
71718,881,4/7/2009,0,90,40.363591,-105.560408
153192,856,4/8/2009,0,55,40.3633,-105.560408
153210,856,4/8/2009,0,320,40.3641,-105.560408
148379,856,12/12/2008,0,120,40.363758,-105.5604
71775,881,4/8/2009,1.2,305,40.363458,-105.5604
67997,881,11/3/2008,0,145,40.363691,-105.560391
69093,881,11/29/2008,0,35,40.363491,-105.560391
69170,881,11/30/2008,0,110,40.363591,-105.560391
151539,856,3/4/2009,0,105,40.363533,-105.560391
151998,856,3/14/2009,0,145,40.364108,-105.560391
152666,856,3/28/2009,0,70,40.363358,-105.560391
152797,856,3/31/2009,0,95,40.36355,-105.560391
68604,881,11/19/2008,0,60,40.363,-105.560383
68877,881,11/24/2008,0,0,40.363508,-105.560383
148010,856,12/2/2008,0,95,40.363641,-105.560383
70415,881,1/4/2009,0,330,40.363391,-105.560383
70682,881,1/17/2009,0,15,40.363558,-105.560383
151009,856,2/21/2009,0,305,40.363483,-105.560383
71039,881,2/22/2009,0,335,40.363308,-105.560383
151207,856,2/25/2009,0,160,40.363283,-105.560383
151216,856,2/25/2009,0,235,40.363216,-105.560383
152903,856,4/2/2009,0,145,40.3634,-105.560383
69923,881,12/23/2008,0,15,40.363641,-105.560375
149422,856,1/7/2009,0,50,40.363375,-105.560375
151873,856,3/11/2009,0,320,40.363758,-105.560375
68864,881,11/24/2008,0,0,40.362558,-105.560366
148459,856,12/15/2008,0,320,40.364233,-105.560366
70228,881,12/30/2008,0,50,40.363508,-105.560366
70354,881,1/2/2009,0,150,40.363591,-105.560366
149537,856,1/12/2009,0,350,40.364008,-105.560366
149855,856,1/22/2009,0,230,40.363466,-105.560366
149988,856,1/25/2009,0,295,40.363608,-105.560366
150480,856,2/8/2009,0,355,40.363291,-105.560366
150803,856,2/16/2009,0,75,40.363533,-105.560366
151003,856,2/21/2009,0,260,40.363383,-105.560366
152798,856,3/31/2009,0,5,40.3637,-105.560366
153170,856,4/8/2009,0,55,40.363366,-105.560366
68494,881,11/16/2008,0,80,40.363491,-105.560358
148531,856,12/17/2008,0,245,40.363675,-105.560358
148730,856,12/22/2008,0,350,40.36375,-105.560358
