OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x,within_park,elevation,land_cover
146465,843COW,3/5/2009,0.0,195,40.356691,-105.599225,True,2451.5603,52.0
146466,843COW,3/5/2009,0.0,15,40.357983,-105.598958,True,2465.3203,52.0
146303,843COW,11/2/2008,1.2,325,40.368783,-105.59895,True,2530.0466,52.0
146411,843COW,12/14/2008,0.0,10,40.353841,-105.598866,True,2447.4038,52.0
146406,843COW,12/9/2008,0.0,355,40.3436,-105.598666,True,2553.5864,52.0
146423,843COW,12/31/2008,3.5,55,40.352975,-105.59715,True,2445.8901,52.0
146394,843COW,11/27/2008,0.0,320,40.360208,-105.597016,True,2476.5325,52.0
146393,843COW,11/26/2008,1.2,335,40.337191,-105.59665,True,2603.1838,52.0
146380,843COW,11/18/2008,0.0,240,40.356883,-105.596608,True,2450.8132,52.0
146461,843COW,2/26/2009,8.1,350,40.338683,-105.595816,True,2571.8223,52.0
146478,843COW,3/21/2009,0.0,30,40.346875,-105.595133,True,2600.3728,52.0
146414,843COW,12/16/2008,0.0,5,40.358608,-105.594208,True,2461.9253,52.0
146398,843COW,12/3/2008,0.0,0,40.351075,-105.593958,True,2443.14,52.0
146345,843COW,11/3/2008,1.2,340,40.360991,-105.593575,True,2507.896,52.0
146488,843COW,3/31/2009,2.3,175,40.3596,-105.593458,True,2480.941,52.0
146493,843COW,4/5/2009,2.3,25,40.361641,-105.593291,True,2507.6348,52.0
146425,843COW,12/31/2008,6.9,20,40.35045,-105.593258,True,2443.2463,52.0
146457,843COW,2/19/2009,1.2,330,40.35985,-105.593133,True,2486.8403,52.0
146302,843COW,11/2/2008,1.2,340,40.359691,-105.592916,True,2485.2798,52.0
146420,843COW,12/24/2008,1.2,140,40.3685,-105.592908,True,2520.564,52.0
146399,843COW,12/3/2008,1.2,10,40.3433,-105.59285,True,2498.6355,52.0
146395,843COW,11/27/2008,4.6,5,40.328133,-105.592675,True,2630.5747,52.0
146433,843COW,1/10/2009,4.6,195,40.349708,-105.592425,True,2470.6106,52.0
146474,843COW,3/19/2009,0.0,350,40.343341,-105.592041,True,2496.5667,52.0
146363,843COW,11/7/2008,3.5,120,40.342733,-105.591908,False,2500.4504,52.0
146451,843COW,2/6/2009,0.0,320,40.354791,-105.5919,True,2442.5205,52.0
146402,843COW,12/6/2008,0.0,200,40.368291,-105.591625,True,2519.9297,52.0
146464,843COW,3/4/2009,0.0,35,40.363808,-105.59155,True,2549.391,52.0
146385,843COW,11/21/2008,0.0,195,40.359883,-105.591458,True,2490.309,52.0
146306,843COW,11/2/2008,12.7,25,40.300641,-105.591375,True,3173.767,52.0
146386,843COW,11/21/2008,0.0,180,40.357908,-105.591216,True,2464.0654,52.0
146487,843COW,3/29/2009,1.2,125,40.354166,-105.591183,True,2442.097,52.0
146434,843COW,1/10/2009,0.0,195,40.359466,-105.590516,True,2483.2646,52.0
146483,843COW,3/26/2009,4.6,70,40.344208,-105.590166,True,2477.4001,52.0
146329,843COW,11/3/2008,77.1,190,40.251733,-105.589483,True,3720.167,52.0
146431,843COW,1/6/2009,0.0,0,40.343758,-105.5882,False,2508.9863,52.0
146430,843COW,1/6/2009,0.0,195,40.343808,-105.588133,False,2504.0647,52.0
146373,843COW,11/11/2008,0.0,35,40.36735,-105.587541,True,2517.824,52.0
146396,843COW,11/29/2008,1.2,215,40.348316,-105.586533,True,2534.0254,52.0
146473,843COW,3/17/2009,1.2,145,40.351333,-105.586283,True,2440.3496,52.0
146400,843COW,12/4/2008,0.0,230,40.3552,-105.58515,True,2445.792,52.0
146356,843COW,11/7/2008,1.2,275,40.362333,-105.584575,True,2507.2295,52.0
146366,843COW,11/8/2008,0.0,225,40.36425,-105.584441,True,2492.1367,52.0
146404,843COW,12/6/2008,0.0,300,40.379116,-105.58435,True,3052.2053,52.0
146413,843COW,12/16/2008,3.5,340,40.339433,-105.583925,False,2531.9932,52.0
146448,843COW,2/2/2009,17.3,65,40.356433,-105.583791,True,2462.8567,52.0
146403,843COW,12/6/2008,0.0,320,40.376,-105.583058,True,2833.3594,52.0
146472,843COW,3/14/2009,1.2,45,40.366116,-105.582891,True,2494.3296,52.0
146484,843COW,3/27/2009,1.2,185,40.337166,-105.582858,False,2558.9749,52.0
146349,843COW,11/7/2008,21.9,15,40.318875,-105.582758,True,2650.7349,52.0
146364,843COW,11/7/2008,2.3,115,40.333066,-105.582566,True,2595.8416,52.0
146813,856,11/7/2008,0.0,140,40.36775,-105.581883,True,2510.314,52.0
146426,843COW,12/31/2008,3.5,30,40.350525,-105.581658,True,2453.727,52.0
146486,843COW,3/28/2009,2.3,25,40.390133,-105.581525,True,2741.3447,52.0
146359,843COW,11/7/2008,0.0,220,40.363866,-105.58105,True,2488.1428,52.0
146479,843COW,3/22/2009,1.2,40,40.354183,-105.580841,True,2472.8499,52.0
146452,843COW,2/7/2009,0.0,300,40.354283,-105.580833,True,2474.7576,52.0
146365,843COW,11/8/2008,1.2,190,40.3681,-105.580483,True,2516.3943,52.0
146729,856,10/30/2008,0.0,200,40.371475,-105.580408,True,2624.837,52.0
146449,843COW,2/4/2009,1.2,255,40.385858,-105.579858,True,2908.92,52.0
146408,843COW,12/12/2008,0.0,75,40.390166,-105.579375,True,2704.9543,52.0
146360,843COW,11/7/2008,0.0,150,40.366891,-105.578983,True,2489.029,52.0
146447,843COW,2/2/2009,1.2,310,40.361558,-105.578041,True,2523.5183,52.0
146347,843COW,11/7/2008,1.2,235,40.363775,-105.577675,True,2479.063,52.0
146355,843COW,11/7/2008,1.2,280,40.36305,-105.577241,True,2459.6755,52.0
146362,843COW,11/7/2008,0.0,185,40.353866,-105.576816,True,2577.1506,52.0
146490,843COW,4/2/2009,1.2,355,40.383483,-105.576341,True,2842.6284,52.0
146387,843COW,11/22/2008,1.2,215,40.377991,-105.576316,True,2768.444,52.0
146384,843COW,11/21/2008,0.0,300,40.359158,-105.574725,True,2614.0369,52.0
146436,843COW,1/11/2009,1.2,130,40.367858,-105.574708,True,2478.9802,52.0
146358,843COW,11/7/2008,0.0,140,40.367516,-105.574608,True,2476.5647,52.0
146437,843COW,1/11/2009,1.2,130,40.36775,-105.5746,True,2477.562,52.0
146352,843COW,11/7/2008,0.0,285,40.367583,-105.574091,True,2475.293,52.0
146391,843COW,11/26/2008,0.0,15,40.365983,-105.573741,True,2459.6099,52.0
146348,843COW,11/7/2008,8.1,125,40.338316,-105.573591,False,2456.533,52.0
146354,843COW,11/7/2008,0.0,165,40.364116,-105.5734,True,2450.7258,52.0
146492,843COW,4/4/2009,2.3,170,40.3475,-105.572966,False,2383.1033,52.0
146463,843COW,3/4/2009,0.0,305,40.35835,-105.572933,True,2585.1897,52.0
146308,843COW,11/2/2008,5.8,205,40.344775,-105.571875,False,2411.0571,52.0
146361,843COW,11/7/2008,0.0,355,40.364466,-105.571691,True,2442.7805,52.0
146458,843COW,2/20/2009,0.0,15,40.385375,-105.571516,True,2611.787,52.0
146392,843COW,11/26/2008,0.0,325,40.365033,-105.571266,True,2452.4175,52.0
146435,843COW,1/10/2009,0.0,270,40.3667,-105.571083,True,2462.026,52.0
146453,843COW,2/11/2009,1.2,330,40.359266,-105.570933,True,2498.0127,52.0
146419,843COW,12/24/2008,1.2,160,40.364958,-105.569916,True,2470.2058,52.0
146346,843COW,11/7/2008,1.2,295,40.375916,-105.56975,True,2569.4094,52.0
146491,843COW,4/3/2009,0.0,340,40.376483,-105.568866,True,2599.8503,52.0
146429,843COW,1/5/2009,1.2,200,40.362875,-105.568583,True,2417.3972,52.0
146351,843COW,11/7/2008,0.0,295,40.367183,-105.568225,True,2429.3706,52.0
146407,843COW,12/9/2008,0.0,35,40.3723,-105.56745,True,2474.886,52.0
146325,843COW,11/3/2008,0.0,170,40.355491,-105.567225,True,2509.575,52.0
146441,843COW,1/18/2009,1.2,10,40.394008,-105.566766,True,2457.1848,52.0
150841,856,2/17/2009,0.0,240,40.36125,-105.565275,True,2395.8816,52.0
146810,856,11/7/2008,31.1,300,40.368325,-105.56495,True,2417.028,52.0
148560,856,12/17/2008,0.0,285,40.367533,-105.564483,True,2408.256,52.0
146401,843COW,12/5/2008,0.0,355,40.364975,-105.563891,True,2397.7654,52.0
146327,843COW,11/3/2008,0.0,190,40.345475,-105.5638,False,2488.631,52.0
146357,843COW,11/7/2008,10.4,320,40.339533,-105.562875,False,2451.1296,52.0
68083,881,11/8/2008,0.0,125,40.362458,-105.562833,True,2379.664,52.0
149703,856,1/17/2009,0.0,20,40.361958,-105.562433,True,2377.426,52.0
146950,856,11/10/2008,0.0,40,40.362633,-105.562333,True,2375.2344,52.0
150891,856,2/18/2009,0.0,220,40.362391,-105.562233,True,2375.8125,52.0
148399,856,12/13/2008,1.2,140,40.365333,-105.562108,True,2388.4917,52.0
68085,881,11/8/2008,0.0,50,40.363133,-105.562075,True,2371.1438,52.0
146383,843COW,11/21/2008,0.0,320,40.351366,-105.561833,False,2402.488,52.0
68084,881,11/8/2008,0.0,10,40.3623,-105.561783,True,2373.1628,52.0
150670,856,2/13/2009,0.0,315,40.365491,-105.561658,True,2386.0415,52.0
147733,856,11/27/2008,0.0,330,40.363075,-105.561625,True,2368.962,52.0
68088,881,11/8/2008,0.0,160,40.362975,-105.561566,True,2367.8994,52.0
148341,856,12/10/2008,0.0,15,40.363016,-105.56155,True,2367.8994,52.0
148799,856,12/24/2008,0.0,250,40.363458,-105.561508,True,2374.5928,52.0
147838,856,11/29/2008,1.2,40,40.362066,-105.561491,True,2374.4565,52.0
68082,881,11/8/2008,0.0,20,40.36005,-105.561466,True,2381.811,52.0
146997,856,11/11/2008,0.0,255,40.362725,-105.561433,True,2369.5225,52.0
150661,856,2/12/2009,0.0,305,40.3644,-105.561433,True,2382.0898,52.0
69871,881,12/21/2008,0.0,305,40.364425,-105.561383,True,2381.8438,52.0
68089,881,11/8/2008,0.0,150,40.362816,-105.561341,True,2366.6938,52.0
